school_name,school_code,region,district,level,ownership
Riftvalley,,Arusha,Monduli Dc,Secondary,
Arash,,Arusha,Ngorongoro Dc,Secondary,
Digodigo,,Arusha,Ngorongoro Dc,Secondary,
Embarway,,Arusha,Ngorongoro Dc,Secondary,
Lake Natron,,Arusha,Ngorongoro Dc,Secondary,
Loliondo,,Arusha,Ngorongoro Dc,Secondary,
Malambo,,Arusha,Ngorongoro Dc,Secondary,
Nainokanoka,,Arusha,Ngorongoro Dc,Secondary,
Ngorongoro Girls,,Arusha,Ngorongoro Dc,Secondary,
Sale,,Arusha,Ngorongoro Dc,Secondary,
Samunge,,Arusha,Ngorongoro Dc,Secondary,
Soitsambu,,Arusha,Ngorongoro Dc,Secondary,
Bagamoyo,,Coast,Bagamoyo Dc,Secondary,
Dunda,,Coast,Bagamoyo Dc,Secondary,
Fukayosi,,Coast,Bagamoyo Dc,Secondary,
Hassanal Damji,,Coast,Bagamoyo Dc,Secondary,
Kerege,,Coast,Bagamoyo Dc,Secondary,
Kingani,,Coast,Bagamoyo Dc,Secondary,
Kiromo,,Coast,Bagamoyo Dc,Secondary,
Mapinga,,Coast,Bagamoyo Dc,Secondary,
Matimbwa,,Coast,Bagamoyo Dc,Secondary,
Nianjema,,Coast,Bagamoyo Dc,Secondary,
Shushila Ladwa,,Coast,Bagamoyo Dc,Secondary,
Zinga,,Coast,Bagamoyo Dc,Secondary,
Chahua,,Coast,Chalinze Dc,Secondary,
Chalinze,,Coast,Chalinze Dc,Secondary,
Chamakweza,,Coast,Chalinze Dc,Secondary,
Changalikwa,,Coast,Chalinze Dc,Secondary,
Kibindu,,Coast,Chalinze Dc,Secondary,
Kikaro,,Coast,Chalinze Dc,Secondary,
Kimange,,Coast,Chalinze Dc,Secondary,
Kiwangwa,,Coast,Chalinze Dc,Secondary,
Kolwa,,Coast,Chalinze Dc,Secondary,
Lugoba,,Coast,Chalinze Dc,Secondary,
Mandera Girls,,Coast,Chalinze Dc,Secondary,
Matipwili,,Coast,Chalinze Dc,Secondary,
Mboga,,Coast,Chalinze Dc,Secondary,
Mdaula,,Coast,Chalinze Dc,Secondary,
Miono,,Coast,Chalinze Dc,Secondary,
Moreto,,Coast,Chalinze Dc,Secondary,
Msata,,Coast,Chalinze Dc,Secondary,
Pera,,Coast,Chalinze Dc,Secondary,
Rupungwi,,Coast,Chalinze Dc,Secondary,
Ruvu Darajani,,Coast,Chalinze Dc,Secondary,
Talawanda,,Coast,Chalinze Dc,Secondary,
Ubena,,Coast,Chalinze Dc,Secondary,
Vigwaza,,Coast,Chalinze Dc,Secondary,
Disunyara,,Coast,Kibaha Dc,Secondary,
Dossa Aziz,,Coast,Kibaha Dc,Secondary,
Kilangalanga,,Coast,Kibaha Dc,Secondary,
Kwala,,Coast,Kibaha Dc,Secondary,
Magindu,,Coast,Kibaha Dc,Secondary,
Mihande,,Coast,Kibaha Dc,Secondary,
Rafsanjani Soga,,Coast,Kibaha Dc,Secondary,
Ruvu Girls,,Coast,Kibaha Dc,Secondary,
Ruvu Station,,Coast,Kibaha Dc,Secondary,
Bundikani,,Coast,Kibaha Tc,Secondary,
Kibaha,,Coast,Kibaha Tc,Secondary,
Kibaha Girls,,Coast,Kibaha Tc,Secondary,
Kidimu,,Coast,Kibaha Tc,Secondary,
Mbwawa Miswe,,Coast,Kibaha Tc,Secondary,
Miembesaba,,Coast,Kibaha Tc,Secondary,
Msangani Gov,,Coast,Kibaha Tc,Secondary,
Mwambisi Forest,,Coast,Kibaha Tc,Secondary,
Mwanalugali,,Coast,Kibaha Tc,Secondary,
Nyumbu,,Coast,Kibaha Tc,Secondary,
Pangani,,Coast,Kibaha Tc,Secondary,
Simbani,,Coast,Kibaha Tc,Secondary,
Tumbi,,Coast,Kibaha Tc,Secondary,
Visiga,,Coast,Kibaha Tc,Secondary,
Zogowale,,Coast,Kibaha Tc,Secondary,
Dimani,,Coast,Kibiti Dc,Secondary,
Kibiti,,Coast,Kibiti Dc,Secondary,
Kikale,,Coast,Kibiti Dc,Secondary,
Mahege,,Coast,Kibiti Dc,Secondary,
Mchukwi,,Coast,Kibiti Dc,Secondary,
Mjawa,,Coast,Kibiti Dc,Secondary,
Mlanzi,,Coast,Kibiti Dc,Secondary,
Msafiri,,Coast,Kibiti Dc,Secondary,
Mtanga Delta,,Coast,Kibiti Dc,Secondary,
Mtawanya,,Coast,Kibiti Dc,Secondary,
Nyamisati,,Coast,Kibiti Dc,Secondary,
Ruaruke,,Coast,Kibiti Dc,Secondary,
Zimbwini,,Coast,Kibiti Dc,Secondary,
Chanzige,,Coast,Kisarawe Dc,Secondary,
Chole,,Coast,Kisarawe Dc,Secondary,
Gongoni,,Coast,Kisarawe Dc,Secondary,
Gwata Kisarawe,,Coast,Kisarawe Dc,Secondary,
Janguo,,Coast,Kisarawe Dc,Secondary,
Jokate Mwegelo,,Coast,Kisarawe Dc,Secondary,
Kibuta,,Coast,Kisarawe Dc,Secondary,
Kimani,,Coast,Kisarawe Dc,Secondary,
Kisarawe,,Coast,Kisarawe Dc,Secondary,
Kurui,,Coast,Kisarawe Dc,Secondary,
Makurunge,,Coast,Kisarawe Dc,Secondary,
Maneromango,,Coast,Kisarawe Dc,Secondary,
Masaki,,Coast,Kisarawe Dc,Secondary,
Mfuru,,Coast,Kisarawe Dc,Secondary,
Minaki,,Coast,Kisarawe Dc,Secondary,
Msimbu,,Coast,Kisarawe Dc,Secondary,
Mzenga,,Coast,Kisarawe Dc,Secondary,
Vikumburu,,Coast,Kisarawe Dc,Secondary,
Baleni,,Coast,Mafia Dc,Secondary,
Bweni,,Coast,Mafia Dc,Secondary,
Kilindoni,,Coast,Mafia Dc,Secondary,
Kirongwe,,Coast,Mafia Dc,Secondary,
Kitomondo,,Coast,Mafia Dc,Secondary,
Micheni,,Coast,Mafia Dc,Secondary,
Abdalla H Ulega,,Coast,Mkuranga Dc,Secondary,
Chatembo,,Coast,Mkuranga Dc,Secondary,
Dundani,,Coast,Mkuranga Dc,Secondary,
Kazole,,Coast,Mkuranga Dc,Secondary,
Kiimbwanindi,,Coast,Mkuranga Dc,Secondary,
Kiparanganda,,Coast,Mkuranga Dc,Secondary,
Kisiju,,Coast,Mkuranga Dc,Secondary,
Kisiju Pwani,,Coast,Mkuranga Dc,Secondary,
Kisima,,Coast,Mkuranga Dc,Secondary,
Kitumbo,,Coast,Mkuranga Dc,Secondary,
Kizomla,,Coast,Mkuranga Dc,Secondary,
Lukanga,,Coast,Mkuranga Dc,Secondary,
Magawa,,Coast,Mkuranga Dc,Secondary,
Mamndimkongo,,Coast,Mkuranga Dc,Secondary,
Marogoro,,Coast,Mkuranga Dc,Secondary,
Miteza,,Coast,Mkuranga Dc,Secondary,
Mkamba,,Coast,Mkuranga Dc,Secondary,
Mkiu,,Coast,Mkuranga Dc,Secondary,
Mkugilo,,Coast,Mkuranga Dc,Secondary,
Mwandege,,Coast,Mkuranga Dc,Secondary,
Mwarusembe,,Coast,Mkuranga Dc,Secondary,
Mwinyi,,Coast,Mkuranga Dc,Secondary,
Nasibugani,,Coast,Mkuranga Dc,Secondary,
Nyamato,,Coast,Mkuranga Dc,Secondary,
Panzuo,,Coast,Mkuranga Dc,Secondary,
Shungubweni,,Coast,Mkuranga Dc,Secondary,
Tambani,,Coast,Mkuranga Dc,Secondary,
Tengelea,,Coast,Mkuranga Dc,Secondary,
Vianzi,,Coast,Mkuranga Dc,Secondary,
Vikindu,,Coast,Mkuranga Dc,Secondary,
Chumbi,,Coast,Rufiji Dc,Secondary,
Ikwiriri,,Coast,Rufiji Dc,Secondary,
Kazamoyo,,Coast,Rufiji Dc,Secondary,
Mbwara,,Coast,Rufiji Dc,Secondary,
Mkongo,,Coast,Rufiji Dc,Secondary,
Mohoro,,Coast,Rufiji Dc,Secondary,
Mwaseni,,Coast,Rufiji Dc,Secondary,
Ngorongo,,Coast,Rufiji Dc,Secondary,
Umwe,,Coast,Rufiji Dc,Secondary,
Utete,,Coast,Rufiji Dc,Secondary,
Abuuy Jumaa,,Dar Es Salaam,Ilala Mc,Secondary,
Ari,,Dar Es Salaam,Ilala Mc,Secondary,
Azania,,Dar Es Salaam,Ilala Mc,Secondary,
B W Mkapa,,Dar Es Salaam,Ilala Mc,Secondary,
Binti Mussa,,Dar Es Salaam,Ilala Mc,Secondary,
Bonyokwa,,Dar Es Salaam,Ilala Mc,Secondary,
Buguruni Moto,,Dar Es Salaam,Ilala Mc,Secondary,
Buyuni,,Dar Es Salaam,Ilala Mc,Secondary,
Buyuni Zavala,,Dar Es Salaam,Ilala Mc,Secondary,
Chanika,,Dar Es Salaam,Ilala Mc,Secondary,
Dar Es Salaam,,Dar Es Salaam,Ilala Mc,Secondary,
Furaha,,Dar Es Salaam,Ilala Mc,Secondary,
Gerezani,,Dar Es Salaam,Ilala Mc,Secondary,
Halisi,,Dar Es Salaam,Ilala Mc,Secondary,
Ilala,,Dar Es Salaam,Ilala Mc,Secondary,
Jamhuri,,Dar Es Salaam,Ilala Mc,Secondary,
Jangwani,,Dar Es Salaam,Ilala Mc,Secondary,
Juhudi,,Dar Es Salaam,Ilala Mc,Secondary,
Juhudi Jeshini,,Dar Es Salaam,Ilala Mc,Secondary,
Kasulu,,Dar Es Salaam,Ilala Mc,Secondary,
Kerezange,,Dar Es Salaam,Ilala Mc,Secondary,
Kimanga,,Dar Es Salaam,Ilala Mc,Secondary,
Kinyamwezi,,Dar Es Salaam,Ilala Mc,Secondary,
Kinyerezi,,Dar Es Salaam,Ilala Mc,Secondary,
Kinyerezi Mpya,,Dar Es Salaam,Ilala Mc,Secondary,
Kipunguni,,Dar Es Salaam,Ilala Mc,Secondary,
Kisungu,,Dar Es Salaam,Ilala Mc,Secondary,
Kisutu,,Dar Es Salaam,Ilala Mc,Secondary,
Kitonga,,Dar Es Salaam,Ilala Mc,Secondary,
Kitunda,,Dar Es Salaam,Ilala Mc,Secondary,
Kivule,,Dar Es Salaam,Ilala Mc,Secondary,
Kiwalani,,Dar Es Salaam,Ilala Mc,Secondary,
Magore,,Dar Es Salaam,Ilala Mc,Secondary,
Magoza,,Dar Es Salaam,Ilala Mc,Secondary,
Majani Ya Chai,,Dar Es Salaam,Ilala Mc,Secondary,
Mbondole,,Dar Es Salaam,Ilala Mc,Secondary,
Mchanganyiko,,Dar Es Salaam,Ilala Mc,Secondary,
Mchikichini,,Dar Es Salaam,Ilala Mc,Secondary,
Migombani,,Dar Es Salaam,Ilala Mc,Secondary,
Minazi Mirefu,,Dar Es Salaam,Ilala Mc,Secondary,
Misitu,,Dar Es Salaam,Ilala Mc,Secondary,
Mivinjeni,,Dar Es Salaam,Ilala Mc,Secondary,
Mkera,,Dar Es Salaam,Ilala Mc,Secondary,
Mnazi Mmoja,,Dar Es Salaam,Ilala Mc,Secondary,
Msimbazi,,Dar Es Salaam,Ilala Mc,Secondary,
Msongola,,Dar Es Salaam,Ilala Mc,Secondary,
Mvuti,,Dar Es Salaam,Ilala Mc,Secondary,
Mwanagati,,Dar Es Salaam,Ilala Mc,Secondary,
Nguvu Mpya,,Dar Es Salaam,Ilala Mc,Secondary,
Nyeburu,,Dar Es Salaam,Ilala Mc,Secondary,
Pugu,,Dar Es Salaam,Ilala Mc,Secondary,
Pugu Station,,Dar Es Salaam,Ilala Mc,Secondary,
Sangara,,Dar Es Salaam,Ilala Mc,Secondary,
Tambaza,,Dar Es Salaam,Ilala Mc,Secondary,
Uamuzi,,Dar Es Salaam,Ilala Mc,Secondary,
Ugombolwa,,Dar Es Salaam,Ilala Mc,Secondary,
Ulongoni,,Dar Es Salaam,Ilala Mc,Secondary,
Vingunguti,,Dar Es Salaam,Ilala Mc,Secondary,
Viwege,,Dar Es Salaam,Ilala Mc,Secondary,
Zanaki,,Dar Es Salaam,Ilala Mc,Secondary,
Zawadi,,Dar Es Salaam,Ilala Mc,Secondary,
Zingiziwa,,Dar Es Salaam,Ilala Mc,Secondary,
Aboud Jumbe,,Dar Es Salaam,Kigamboni Mc,Secondary,
Kibada,,Dar Es Salaam,Kigamboni Mc,Secondary,
Kibugumo,,Dar Es Salaam,Kigamboni Mc,Secondary,
Kidete,,Dar Es Salaam,Kigamboni Mc,Secondary,
Kimbiji,,Dar Es Salaam,Kigamboni Mc,Secondary,
Kisarawe Ii,,Dar Es Salaam,Kigamboni Mc,Secondary,
Kisota,,Dar Es Salaam,Kigamboni Mc,Secondary,
Minazini,,Dar Es Salaam,Kigamboni Mc,Secondary,
Mizimbini,,Dar Es Salaam,Kigamboni Mc,Secondary,
Nguva,,Dar Es Salaam,Kigamboni Mc,Secondary,
Paul Makonda,,Dar Es Salaam,Kigamboni Mc,Secondary,
Pembamnazi,,Dar Es Salaam,Kigamboni Mc,Secondary,
Somangila,,Dar Es Salaam,Kigamboni Mc,Secondary,
Tungi,,Dar Es Salaam,Kigamboni Mc,Secondary,
Vijibweni,,Dar Es Salaam,Kigamboni Mc,Secondary,
Boko,,Dar Es Salaam,Kinondoni Mc,Secondary,
Boko Mtambani,,Dar Es Salaam,Kinondoni Mc,Secondary,
Bunju A,,Dar Es Salaam,Kinondoni Mc,Secondary,
Daniel Chongolo,,Dar Es Salaam,Kinondoni Mc,Secondary,
Hananasifu,,Dar Es Salaam,Kinondoni Mc,Secondary,
Kambangwa,,Dar Es Salaam,Kinondoni Mc,Secondary,
Kawe Ukwamani,,Dar Es Salaam,Kinondoni Mc,Secondary,
Kigogo,,Dar Es Salaam,Kinondoni Mc,Secondary,
Kijitonyama,,Dar Es Salaam,Kinondoni Mc,Secondary,
Kisauke,,Dar Es Salaam,Kinondoni Mc,Secondary,
Kondo,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mabwe,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mabwe Tumaini,,Dar Es Salaam,Kinondoni Mc,Secondary,
Maendeleo,,Dar Es Salaam,Kinondoni Mc,Secondary,
Magomeni,,Dar Es Salaam,Kinondoni Mc,Secondary,
Makongo Juu,,Dar Es Salaam,Kinondoni Mc,Secondary,
Makumbusho,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mbezi Juu,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mbopo,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mbweni,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mbweni Teta,,Dar Es Salaam,Kinondoni Mc,Secondary,
Michael Tarimo,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mikocheni,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mivumoni,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mtakuja Beach,,Dar Es Salaam,Kinondoni Mc,Secondary,
Mzimuni,,Dar Es Salaam,Kinondoni Mc,Secondary,
Njechele,,Dar Es Salaam,Kinondoni Mc,Secondary,
Oysterbay,,Dar Es Salaam,Kinondoni Mc,Secondary,
Salma Kikwete,,Dar Es Salaam,Kinondoni Mc,Secondary,
Songoro Mnyonge,,Dar Es Salaam,Kinondoni Mc,Secondary,
Turiani,,Dar Es Salaam,Kinondoni Mc,Secondary,
Twiga,,Dar Es Salaam,Kinondoni Mc,Secondary,
Barabara Ya Mwinyi,,Dar Es Salaam,Temeke Mc,Secondary,
Buza,,Dar Es Salaam,Temeke Mc,Secondary,
Chamazi,,Dar Es Salaam,Temeke Mc,Secondary,
Changanyikeni,,Dar Es Salaam,Temeke Mc,Secondary,
Changombe,,Dar Es Salaam,Temeke Mc,Secondary,
Charambe,,Dar Es Salaam,Temeke Mc,Secondary,
Diplomasia,,Dar Es Salaam,Temeke Mc,Secondary,
Karibuni,,Dar Es Salaam,Temeke Mc,Secondary,
Keko,,Dar Es Salaam,Temeke Mc,Secondary,
Kibasila,,Dar Es Salaam,Temeke Mc,Secondary,
Kibasila B,,Dar Es Salaam,Temeke Mc,Secondary,
Kichanga,,Dar Es Salaam,Temeke Mc,Secondary,
Kijichi,,Dar Es Salaam,Temeke Mc,Secondary,
Kingugi,,Dar Es Salaam,Temeke Mc,Secondary,
Kurasini,,Dar Es Salaam,Temeke Mc,Secondary,
Lumo,,Dar Es Salaam,Temeke Mc,Secondary,
Malela,,Dar Es Salaam,Temeke Mc,Secondary,
Mbagala,,Dar Es Salaam,Temeke Mc,Secondary,
Mbagala Kuu,,Dar Es Salaam,Temeke Mc,Secondary,
Mbande,,Dar Es Salaam,Temeke Mc,Secondary,
Miburani,,Dar Es Salaam,Temeke Mc,Secondary,
Mikwambe,,Dar Es Salaam,Temeke Mc,Secondary,
Ndalala,,Dar Es Salaam,Temeke Mc,Secondary,
Nzasa,,Dar Es Salaam,Temeke Mc,Secondary,
Penda Moyo,,Dar Es Salaam,Temeke Mc,Secondary,
Relini,,Dar Es Salaam,Temeke Mc,Secondary,
Saku,,Dar Es Salaam,Temeke Mc,Secondary,
Tandika,,Dar Es Salaam,Temeke Mc,Secondary,
Temeke,,Dar Es Salaam,Temeke Mc,Secondary,
Toangoma,,Dar Es Salaam,Temeke Mc,Secondary,
Uhamiaji,,Dar Es Salaam,Temeke Mc,Secondary,
Wailesi,,Dar Es Salaam,Temeke Mc,Secondary,
Fahari Goba B,,Dar Es Salaam,Ubungo Mc,Secondary,
Goba,,Dar Es Salaam,Ubungo Mc,Secondary,
Goba Mpakani,,Dar Es Salaam,Ubungo Mc,Secondary,
Gogoni,,Dar Es Salaam,Ubungo Mc,Secondary,
Hondogo,,Dar Es Salaam,Ubungo Mc,Secondary,
Kibamba,,Dar Es Salaam,Ubungo Mc,Secondary,
Kibwegere,,Dar Es Salaam,Ubungo Mc,Secondary,
Kibweheri,,Dar Es Salaam,Ubungo Mc,Secondary,
Kiluvya,,Dar Es Salaam,Ubungo Mc,Secondary,
Kimara,,Dar Es Salaam,Ubungo Mc,Secondary,
Kingongo,,Dar Es Salaam,Ubungo Mc,Secondary,
Kinzudi Goba C,,Dar Es Salaam,Ubungo Mc,Secondary,
Kwembe,,Dar Es Salaam,Ubungo Mc,Secondary,
Luguruni,,Dar Es Salaam,Ubungo Mc,Secondary,
Mabibo,,Dar Es Salaam,Ubungo Mc,Secondary,
Makabe,,Dar Es Salaam,Ubungo Mc,Secondary,
Makoka,,Dar Es Salaam,Ubungo Mc,Secondary,
Makurumla,,Dar Es Salaam,Ubungo Mc,Secondary,
Malambamawili,,Dar Es Salaam,Ubungo Mc,Secondary,
Manzese,,Dar Es Salaam,Ubungo Mc,Secondary,
Mashujaa,,Dar Es Salaam,Ubungo Mc,Secondary,
Matosa,,Dar Es Salaam,Ubungo Mc,Secondary,
Mbezi Inn,,Dar Es Salaam,Ubungo Mc,Secondary,
Mburahati,,Dar Es Salaam,Ubungo Mc,Secondary,
Mpiji Magohe,,Dar Es Salaam,Ubungo Mc,Secondary,
Mugabe,,Dar Es Salaam,Ubungo Mc,Secondary,
Saranga,,Dar Es Salaam,Ubungo Mc,Secondary,
Temboni Gvt,,Dar Es Salaam,Ubungo Mc,Secondary,
Ukombozi,,Dar Es Salaam,Ubungo Mc,Secondary,
Urafiki,,Dar Es Salaam,Ubungo Mc,Secondary,
Y R Makamba,,Dar Es Salaam,Ubungo Mc,Secondary,
Babayu,,Dodoma,Bahi Dc,Secondary,
Bahi,,Dodoma,Bahi Dc,Secondary,
Bahi B,,Dodoma,Bahi Dc,Secondary,
Chibelela,,Dodoma,Bahi Dc,Secondary,
Chikola,,Dodoma,Bahi Dc,Secondary,
Chikopelo,,Dodoma,Bahi Dc,Secondary,
Chipanga,,Dodoma,Bahi Dc,Secondary,
