region,district,facilities,hospitals,health_centers,dispensaries
Mara,Butiama Dc,59,1,6,51
Mara,Musoma Dc,94,5,11,68
Mara,Rorya Dc,64,4,9,49
Mara,Serengeti,93,2,8,80
Mara,Tarime Dc,134,2,15,106
Mbeya,Busokelo,40,2,5,32
Mbeya,Chunya Dc,61,1,7,49
Mbeya,Kyela Dc,68,3,4,54
Mbeya,Mbarali Dc,96,2,11,82
Mbeya,Mbeya Cc,274,10,18,190
Mbeya,Rungwe Dc,83,2,12,64
Morogoro,Gairo Dc,128,2,10,113
Morogoro,Ifakara Tc,75,6,10,54
Morogoro,Kilosa Dc,140,3,16,117
Morogoro,Malinyi Dc,36,2,3,30
Morogoro,Morogoro Dc,287,7,29,201
Morogoro,Mvomero Dc,107,3,11,90
Morogoro,Ulanga Dc,52,1,4,44
Mtwara,Masasi Dc,108,3,12,88
Mtwara,Mtwara Dc,96,5,13,65
Mtwara,Nanyamba Tc,42,1,3,37
Mtwara,Nanyumbu Dc,47,1,5,40
Mtwara,Newala Dc,72,2,8,60
Mtwara,Tandahimba Dc,50,1,9,39
Mwanza,Buchosa Dc,254,16,21,148
Mwanza,Ilemela Mc,185,5,14,138
Mwanza,Kwimba Dc,80,2,11,65
Mwanza,Magu Dc,89,1,8,72
Mwanza,Misungwi Dc,83,2,7,71
Mwanza,Sengerema Dc,82,2,11,64
Mwanza,Ukerewe Dc,55,2,8,44
Njombe,Ludewa Dc,168,6,16,143
Njombe,Makambako Tc,39,2,7,27
Njombe,Makete Dc,78,3,10,63
Njombe,Njombe Dc,147,5,20,109
Rukwa,Kalambo Dc,76,1,10,64
Rukwa,Nkasi Dc,75,2,11,60
Rukwa,Sumbawanga Dc,143,4,19,114
Ruvuma,Madaba Dc,32,1,5,25
Ruvuma,Mbinga Dc,131,5,13,109
Ruvuma,Namtumbo Dc,66,1,10,54
Ruvuma,Nyasa Dc,52,3,7,41
Ruvuma,Songea Dc,155,5,16,112
Ruvuma,Tunduru Dc,93,3,9,80
Shinyanga,Kahama Tc,111,2,14,81
Shinyanga,Kishapu Dc,81,2,9,68
Shinyanga,Msalala Dc,84,1,9,70
Shinyanga,Shinyanga Dc,127,4,10,99
Shinyanga,Ushetu Dc,49,1,5,41
Simiyu,Bariadi Dc,85,4,5,70
Simiyu,Busega Dc,51,2,7,40
Simiyu,Itilima Dc,51,1,5,44
Simiyu,Maswa Dc,74,1,9,63
Simiyu,Meatu Dc,71,1,5,64
Singida,Ikungi Dc,70,3,7,56
Singida,Iramba Dc,68,1,7,59
Singida,Itigi Dc,39,2,3,33
Singida,Manyoni Dc,65,2,5,57
Singida,Mkalama Dc,55,2,5,47
Singida,Singida Dc,115,4,12,81
Songwe,Ileje Dc,53,2,4,46
Songwe,Mbozi Dc,132,4,11,112
Songwe,Momba Dc,58,1,6,50
Songwe,Songwe Dc,49,2,5,40
Songwe,Tunduma Tc,44,2,11,28
Tabora,Igunga Dc,209,3,14,183
Tabora,Kaliua Dc,73,2,10,59
Tabora,Nzega Dc,110,3,12,87
Tabora,Sikonge Dc,53,2,5,45
Tabora,Tabora Dc,95,5,8,68
Tabora,Urambo Dc,50,1,5,43
Tanga,Bumbuli Dc,40,2,4,33
Tanga,Handeni Dc,113,3,6,101
Tanga,Kilindi Dc,65,2,8,54
Tanga,Korogwe Dc,116,4,16,84
Tanga,Lushoto Dc,87,1,7,76
Tanga,Mkinga Dc,53,1,3,48
Tanga,Muheza Dc,78,2,5,68
Tanga,Pangani Dc,33,1,3,28
Tanga,Tanga Cc,117,5,9,75
