code,name,level
S.6718,MAKONDEKO SECONDARY SCHOOL,Secondary
S.6719,LIKOMBE SECONDARY SCHOOL,Secondary
S.6720,NAKAHAKO SECONDARY SCHOOL,Secondary
S.6721,KITWAI SECONDARY SCHOOL,Secondary
S.6722,IFULIFU SECONDARY SCHOOL,Secondary
S.6724,SARAME SECONDARY SCHOOL,Secondary
S.6725,BWAI SECONDARY SCHOOL,Secondary
S.6726,ICHENJEZYA SECONDARY SCHOOL,Secondary
S.6727,NAMBALA SECONDARY SCHOOL,Secondary
S.6728,NSENYA SECONDARY SCHOOL,Secondary
S.6729,HASANGA SECONDARY SCHOOL,Secondary
S.6736,KAMSISI SECONDARY SCHOOL,Secondary
S.6737,MKUNWA SECONDARY SCHOOL,Secondary
S.6738,NAMTUMBUKA SECONDARY SCHOOL,Secondary
S.6739,CHEREHANI SECONDARY SCHOOL,Secondary
S.6740,ELIAS KWANDIKWA SECONDARY SCHOOL,Secondary
S.6741,MCHONJOE SECONDARY SCHOOL,Secondary
S.6742,MWAMAPULI SECONDARY SCHOOL,Secondary
S.6743,TUNDWI SONGANI SECONDARY SCHOOL,Secondary
S.6744,MIZANI SECONDARY SCHOOL,Secondary
S.6745,EDWARD OLELEKAITA SECONDARY SCHOOL,Secondary
S.6746,NASA MATUI SECONDARY SCHOOL,Secondary
S.6747,HIMITI SECONDARY SCHOOL,Secondary
S.6748,CHILENGWE SECONDARY SCHOOL,Secondary
S.6749,MARIAN BOY'S MLINGOTINI SECONDARY SCHOOL,Secondary
S.6750,JISESA SECONDARY SCHOOL,Secondary
S.6751,SHEKILINDI SEKONDARY SCHOOL,Secondary
S.6752,MLALO KAYA SECONDARY SCHOOL,Secondary
S.6753,KIZUKA HILLS SECONDARY SCHOOL,Secondary
S.6754,RASHIDI KAWAWA SECONDARY SCHOOL,Secondary
S.6758,JOHNSON EXCELLENCY SECONDARY SCHOOL,Secondary
S.6759,ISAIAH SAMARITAN SECONDARY SCHOOL,Secondary
S.6760,HARVARD EAST AFRICA SECONDARY SCHOOL,Secondary
S.6761,MAKOSE SECONDARY SCHOOL,Secondary
S.6762,STARON SECONDARY SCHOOL,Secondary
S.6763,BUKAMILA SECONDARY SCHOOL,Secondary
S.6764,MAKETE SECONDARY SCHOOL,Secondary
S.6765,NYASARICHO SECONDARY SCHOOL,Secondary
S.6766,MKIMBII SECONDARY SCHOOL,Secondary
S.6767,KAKUMBI SECONDARY SCHOOL,Secondary
S.6768,DKT. SAMIA SULUHU HASSAN GIRLS SECONDARY SCHOOL,Secondary
S.6769,MAGU MJINI SECONDARY SCHOOL,Secondary
S.6770,KITONGO SECONDARY SCHOOL,Secondary
S.6771,MWILAMVYA MPYA SECONDARY SCHOOL,Secondary
S.6774,MLENGE SECONDARY SCHOOL,Secondary
S.6775,MMALE SECONDARY SCHOOL,Secondary
S.6776,LUBELE SECONDARY SCHOOL,Secondary
S.6777,IZIWA SECONDARY SCHOOL,Secondary
S.6778,PARAMAWE SECONDARY SCHOOL,Secondary
S.6779,BONDENI A  SECONDARY SCHOOL,Secondary
S.6780,ITETE BEACH SECONDARY SCHOOL,Secondary
S.6781,KAMUGANZA SECONDARY SCHOOL,Secondary
S.6782,PHILIPO MULUGO SECONDARY SCHOOL,Secondary
S.6783,MUFINDI SECONDARY SCHOOL,Secondary
S.6784,NGWAZI SECONDARY SCHOOL,Secondary
S.6785,ISAKALILO SECONDARY SCHOOL,Secondary
S.6786,MCHENGERWA SECONDARY SCHOOL,Secondary
S.6787,HILLSIDE SECONDARY SCHOOL,Secondary
S.6789,CHISUNGA SECONDARY SCHOOL,Secondary
S.6790,MANGI WINGIA  SECONDARY SCHOOL,Secondary
S.6791,BUKIRA SECONDARY SCHOOL,Secondary
S.6792,SHINYANGA GIRLS  SECONDARY SCHOOL,Secondary
S.6793,IKANA SECONDARY SCHOOL,Secondary
S.6794,BUNIGONZI SECONDARY SCHOOL,Secondary
S.6795,LUBAGA  SECONDARY SCHOOL,Secondary
S.6797,NYABAKAMBA SECONDARY SCHOOL,Secondary
S.6798,MATUNDA  SECONDARY SCHOOL,Secondary
S.6799,KISANGIRE SECONDARY SCHOOL,Secondary
S.6800,LUFITA SECONDARY SCHOOL,Secondary
S.6801,ALMAS MAIGE  SECONDARY SCHOOL,Secondary
S.6802,MWAMAKONA SECONDARY SCHOOL,Secondary
S.6803,MAGUHA SECONDARY SCHOOL,Secondary
S.6804,MHENDA SECONDARY SCHOOL,Secondary
S.6805,MSAKUZI SECONDARY SCHOOL,Secondary
S.6806,PANGAWE SECONDARY SCHOOL,Secondary
S.6807,LINDI GIRLS SECONDARY SCHOOL,Secondary
S.6808,MKENGWA SECONDARY SCHOOL,Secondary
S.6809,NYAKAGWE SECONDARY SCHOOL,Secondary
S.6810,BUZANAKI SECONDARY SCHOOL,Secondary
S.6811,UJAMAA SECONDARY SCHOOL,Secondary
S.6812,LWENAZI SECONDARY SCHOOL,Secondary
S.6813,MUNEKEZI SECONDARY SCHOOL,Secondary
S.6814,INYALA SECONDARY SCHOOL,Secondary
S.6815,SALAGULWA SECONDARY SCHOOL,Secondary
S.6816,MSASA SECONDARY SCHOOL,Secondary
S.6817,NYAMALELE SECONDARY SCHOOL,Secondary
S.6818,MGUNGA SECONDARY SCHOOL,Secondary
S.6819,CHANKUNGU SECONDARY SCHOOL,Secondary
S.6820,SAMIA GIRLS' SECONDARY SCHOOL,Secondary
S.6821,DKT. MSONDE-MICHUNGWANI SECONDARY SCHOOL,Secondary
S.6822,KUNGU SECONDARY SCHOOL,Secondary
S.6823,MAJIMAJI SECONDARY SCHOOL,Secondary
S.6824,MPAKATE SECONDARY SCHOOL,Secondary
S.6825,NYANSALALA SECONDARY SCHOOL,Secondary
S.6826,MOROTONGA SECONDARY SCHOOL,Secondary
S.6827,FULANO SECONDARY SCHOOL,Secondary
S.6828,NTINACHI SECONDARY SCHOOL,Secondary
S.6829,NYABALASANA SECONDARY SCHOOL,Secondary
S.6830,NYALUBANGA SECONDARY SCHOOL,Secondary
S.6831,MSOGEZI SECONDARY SCHOOL,Secondary
S.6832,MNDEME SECONDARY SCHOOL,Secondary
S.6833,MKOLANI GEITA SECONDARY SCHOOL,Secondary
S.6834,KIBISI SECONDARY SCHOOL,Secondary
S.6835,MJELE SECONDARY SCHOOL,Secondary
S.6836,BULENGAHASI SECONDARY SCHOOL,Secondary
S.6838,ISIMA SECONDARY SCHOOL,Secondary
S.6839,NTONO SECONDARY SCHOOL,Secondary
S.6840,IBONDO CHATO SECONDARY SCHOOL,Secondary
S.6841,NZERA SECONDARY SCHOOL,Secondary
S.6842,SASILO SECONDARY SCHOOL,Secondary
S.6843,NDEWELE SECONDARY SCHOOL,Secondary
S.6844,SARANDA SECONDARY SCHOOL,Secondary
S.6845,DR. SELEMAN JAFO SECONDARY SCHOOL,Secondary
S.6846,JUMAA AWESO  SECONDARY SCHOOL,Secondary
S.6847,LESHATA SEKONDARY SCHOOL,Secondary
S.6848,MUHALALA SECONDARY SCHOOL,Secondary
S.6849,SHAIBU NDEMANGA SECONDARY SCHOOL,Secondary
S.6850,PHILEMON LUHANJO SECONDARY SCHOOL,Secondary
S.6851,MESERANI SECONDARY SCHOOL,Secondary
S.6852,CHIFU MERERE SECONDARY SCHOOL,Secondary
S.6853,NDEKAI SECONDARY SCHOOL,Secondary
S.6854,MSWAKINI SECONDARY SCHOOL,Secondary
S.6855,BUBAKO SECONDARY SCHOOL,Secondary
S.6856,MIJELEJELE SECONDARY SCHOOL,Secondary
S.6857,UPOLO SECONDARY SCHOOL,Secondary
S.6858,ENDAHAGICHANI SECONDARY SCHOOL,Secondary
S.6859,KOKA SECONDARY SCHOOL,Secondary
S.6860,VIZIWAZIWA SECONDARY SCHOOL,Secondary
S.6861,KIVISINI  SECONDARY SCHOOL,Secondary
S.6862,MISUGUSUGU SECONDARY SCHOOL,Secondary
S.6863,DAGENO SECONDARY SCHOOL,Secondary
S.6864,KALAGHE SECONDARY SCHOOL,Secondary
S.6865,TUMAINI JIPYA GIRLS' SECONDARY SCHOOL,Secondary
S.6866,KITOBO SECONDARY SCHOOL,Secondary
S.6867,MPAMAA SECONDARY SCHOOL,Secondary
S.6868,NEW BAGAMOYO SECONDARY SCHOOL,Secondary
S.6869,SEKOUTOURE SECONDARY SCHOOL,Secondary
S.6870,BISHOP  ARNOLD COTEY LUKULEDI GIRLS SEC SCHOOL,Secondary
S.6872,MELELA MPYA SECONDARY SCHOOL,Secondary
S.6873,HOMBOZA SECONDARY SCHOOL,Secondary
S.6874,LIWUNDI SECONDARY SCHOOL,Secondary
S.6875,JIBONDO SECONDARY SCHOOL,Secondary
S.6877,TURKISH MAARIF DAR ES SALAAM SECONDARY SCHOOL,Secondary
S.6878,KILIMANJARO SPRINGS SECONDARY SCHOOL,Secondary
S.6879,ARCHBISHOP   RUZOKA SECONDARY SCHOOL,Secondary
S.6880,SHINJI SECONDARY SCHOOL,Secondary
S.6881,HONEST SECONDARY SCHOOL,Secondary
S.6882,UFUNGILO SECONDARY SCHOOL,Secondary
S.6883,SANUBARAY SECONDARY SCHOOL,Secondary
S.6884,BUYANGE SECONDARY SCHOOL,Secondary
S.6885,KUMBUKUMBU SECONDARY SCHOOL,Secondary
S.6886,GODWINI GONDWE SECONDARY SCHOOL,Secondary
S.6887,KIKONGO SECONDARY SCHOOL,Secondary
S.6888,MILALAZI SECONDARY SCHOOL,Secondary
S.6890,ZANKONA SECONDARY SCHOOL,Secondary
S.6893,IKONDO DAY SECONDARY SCHOOL,Secondary
S.6894,CHIEF SARJA SECONDARY SCHOOL,Secondary
S.6895,ISHPONGA SECONDARY SCHOOL,Secondary
S.6896,KINGILI SECONDARY SCHOOL,Secondary
S.6897,LOHUMBO SECONDARY SCHOOL,Secondary
S.6898,MHANGU SECONDARY SCHOOL,Secondary
S.6899,IGALAMYA SECONDARY SCHOOL,Secondary
S.6900,SOLWA B SECONDARY SCHOOL,Secondary
S.6901,IKINDA SECONDARY SCHOOL,Secondary
S.6902,BUSINDI SECONDARY SCHOOL,Secondary
S.6903,LUSONGA SECONDARY SCHOOL,Secondary
S.6904,KIGALYE SECONDARY SCHOOL,Secondary
S.6905,ST. BERNARD GIRLS' SECONDARY SCHOOL,Secondary
S.6908,FULL GOSPEL SECONDARY SCHOOL,Secondary
S.6909,BUSINDE MPYA SECONDARY SCHOOL,Secondary
S.6911,IGATE SECONDARY SCHOOL,Secondary
S.6912,MAGAONI SECONDARY SCHOOL,Secondary
S.6914,MANOFU SECONDARY SCHOOL,Secondary
S.6915,AHMES MBWENI SECONDARY SCHOOL,Secondary
S.6916,KIZUMBI HILL SECONDARY SCHOOL,Secondary
S.6917,LUKATA SECONDARY SCHOOL,Secondary
S.6918,MSASANI ONE SECONDARY SCHOOL,Secondary
S.6919,LUHARANYONGA SECONDARY SCHOOL,Secondary
S.6920,MSIMBA DAY SECONDARY SCHOOL,Secondary
S.6921,IHANDAUMOJA SECONDARY SCHOOL,Secondary
S.6922,IHEFU SECONDARY SCHOOL,Secondary
S.6923,KYERWA MODERN SECONDARY SCHOOL,Secondary
S.6924,MIKA SECONDARY SCHOOL,Secondary
S.6925,RWANG'ENYI SECONDARY SCHOOL,Secondary
S.6926,MWANTUNDU SECONDARY SCHOOL,Secondary
S.6927,BITIMANYANGA SECONDARY SCHOOL,Secondary
S.6928,MASENHA SECONDARY SCHOOL,Secondary
S.6929,BENAYA SECONDARY SCHOOL,Secondary
S.6930,NGUZO SECONDARY SCHOOL,Secondary
S.6931,KIBUKO SECONDARY SCHOOL,Secondary
S.6932,CHARTUR SECONDARY SCHOOL,Secondary
S.6933,ILANGALE SECONDARY SCHOOL,Secondary
S.6934,DR.MWIGULU NCHEMBA SECONDARY SCHOOL,Secondary
S.6935,KASHELO SECONDARY SCHOOL,Secondary
S.6936,BUGANZU SECONDARY SCHOOL,Secondary
S.6937,BUGELENGA SECONDARY SCHOOL,Secondary
S.6939,AESHI SECONDARY SCHOOL,Secondary
S.6940,IKUZI SECONDARY SCHOOL,Secondary
S.6941,SILOKA SECONDARY SCHOOL,Secondary
S.6943,NYENGE SECONDARY SCHOOL,Secondary
S.6944,KIDAWENDUI SECONDARY SCHOOL,Secondary
S.6945,AMOS MAKALLA SECONDARY SCHOOL,Secondary
S.6952,KAMALAMPAKA SECONDARY SCHOOL,Secondary
S.6953,SAID NKUMBA SECONDARY SCHOOL,Secondary
S.6954,KAZILAMUYAYE  SECONDARY SCHOOL,Secondary
S.6955,SUNSI SECONDARY SCHOOL,Secondary
S.6956,JARIBU SECONDARY SCHOOL,Secondary
S.6957,KARUKEKERE SECONDARY SCHOOL,Secondary
S.6958,DON CARLO'S CHIKOPELO  SECONDARY SCHOOL,Secondary
S.6959,ALOYCEOUS SECONDARY SCHOOL,Secondary
S.6960,ISTIQAAMA NZEGA SECONDARY SCHOOL,Secondary
S.6961,AYALABE SECONDARY SCHOOL,Secondary
S.6962,USIMBILI SECONDARY SCHOOL,Secondary
S.6963,IHENGA SECONDARY SCHOOL,Secondary
S.6964,MAHARU SECONDARY SCHOOL,Secondary
S.6965,MTEMI BEDA SECONDARY SCHOOL,Secondary
S.6966,CARING HANDS SECONDARY SCHOOL,Secondary
S.6967,DR. SAMIA S. H SECONDARY SCHOOL,Secondary
S.6968,OLTEPES KILIMO SECONDARY SCHOOL,Secondary
S.6969,MOMA SECONDARY SCHOOL,Secondary
S.6973,ST. URSULA MTUMBA GIRLS SECONDARY SCHOOL,Secondary
S.6974,MLIMANI ASILI SECONDARY SCHOOL,Secondary
S.6975,MALUGA SECONDARY SCHOOL,Secondary
S.6977,NYAKAFULU SECONDARY SCHOOL,Secondary
S.6978,SALI SEMINARY,Secondary
S.6980,BWAWANI MJINI SECONDARY SCHOOL,Secondary
S.6982,INYANGA SECONDARY SCHOOL,Secondary
S.6983,TIRINA SECONDARY SCHOOL,Secondary
S.6984,KHADIJA NASSIR ALI SECONDARY SCHOOL,Secondary
S.6985,DR.SAMIA.S.HASSAN SECONDARY SCHOOL,Secondary
S.6986,MALIASILI SECONDARY SCHOOL,Secondary
S.6987,MAGOZA FRANKEN SECONDARY SCHOOL,Secondary
S.6988,LUGWADU SECONDARY SCHOOL,Secondary
S.6989,VITA KAWAWA SECONDARY SCHOOL,Secondary
S.6990,OMURUSHAKA SECONDARY SCHOOL,Secondary
S.6991,IKORO SECONDARY SCHOOL,Secondary
S.6992,MAGENA SECONDARY SCHOOL,Secondary
S.6993,IGEKEMAJA SECONDARY SCHOOL,Secondary
S.6994,MABUKULA SECONDARY SCHOOL,Secondary
S.6995,MUMANGI SECONDARY SCHOOL,Secondary
S.6996,NYANGUSA SECONDARY SCHOOL,Secondary
S.7001,BUGENDI SECONDARY SCHOOL,Secondary
S.7002,UZEGA SECONDARY SCHOOL,Secondary
S.7003,BLUESKY SECONDARY SCHOOL,Secondary
S.7004,ISHOZI SACRED HEART SECONDARY SCHOOL,Secondary
S.7005,HANEZYE TECHNICAL SECONDARY SCHOOL,Secondary
S.7006,NOAH AGRO FORESTRY SECONDARY SCHOOL,Secondary
S.7007,BISHOP KIBIRA SECONDARY SCHOOL,Secondary
S.7009,SANZATE SECONDARY SCHOOL,Secondary
S.7010,KATUNDU SECONDARY SCHOOL,Secondary
S.7011,MWAMAGEMBE SECONDARY SCHOOL,Secondary
S.7012,KITARAKA SECONDARY SCHOOL,Secondary
S.7013,SIHA ONE SECONDARY SCHOOL,Secondary
S.7014,BUGIRE SECONDARY SCHOOL,Secondary
S.7015,MAKURUNGE COAST SECONDARY SCHOOL,Secondary
S.7016,DODA SECONDARY SCHOOL,Secondary
S.7017,KWEKUYU SECONDARY SCHOOL,Secondary
S.7018,J. NYAMOGA SECONDARY SCHOOL,Secondary
S.7019,MLANDO SECONDARY SCHOOL,Secondary
S.7020,STANLEY MBOGWE SECONDARY SCHOOL,Secondary
S.7021,MSOLWA STATION SECONDARY SCHOOL,Secondary
S.7022,KIPOTE SECONDARY SCHOOL,Secondary
S.7023,KILIMAHEWA DAY SECONDARY SCHOOL,Secondary
S.7024,BIBI TITI MOHAMED SECONDARY SCHOOL,Secondary
